code,product_name,nutri-score-cat,sugars_cat,fat_cat
450193000,"ice cream, vanilla",D,Très sucré,Très gras
450193031,"ice cream, butter pecan",D,Très sucré,Très gras
11110004543,"ice cream, vanilla bean",D,Très sucré,Très gras
11110004550,"ice cream, classic country vanilla",D,Très sucré,Très gras
11110004567,"ice cream, denali extreme moose tracks",D,Très sucré,Très gras
11110004574,"ice cream, southern butter pecan",D,Très sucré,Très gras
11110004604,"ice cream, chocolate",D,Très sucré,Très gras
11110004611,english toffee caramel ice cream,D,Très sucré,Très gras
11110004635,"ice cream, semi-sweet chocolate chip",D,Très sucré,Très gras
11110004642,"ice cream, amaretto cherry cordial",D,Très sucré,Très gras
11110004659,ice cream,D,Très sucré,Très gras
11110004666,"ice cream, chocolate chip cookie dough",D,Très sucré,Très gras
11110004680,"ice cream, black raspberry dark chocolate chunk",D,Très sucré,Très gras
11110004697,"ice cream, denali caramel caribou",D,Très sucré,Très gras
11110013996,"deluxe ice cream, s'mores",D,Très sucré,Très gras
11110014023,deluxe ice cream,D,Très sucré,Très gras
11110014238,"deluxe churned reduced fat ice cream, vividly vanilla",B,peu sucré,peu gras
11110014245,"deluxe ice cream, chocolate chip",D,Très sucré,Très gras
11110014252,"deluxe ice cream, death by chocolate",D,Très sucré,Très gras
11110014269,"deluxe ice cream, rocky road",D,Très sucré,Très gras
11110014368,ice cream,D,Très sucré,Très gras
11110017482,party pail ice cream,D,Très sucré,peu gras
11110017499,"party pail ice cream, chocolate",C,Très sucré,Très gras
11110017574,party pail ice cream,D,Très sucré,peu gras
11110017581,party pail ice cream,D,Très sucré,Très gras
11110017734,ice cream sandwiches,D,Très sucré,Très gras
11110019714,party pail ice cream,D,Très sucré,peu gras
11110021595,ice cream,D,Très sucré,Très gras
11110022950,"ice cream sandwiches, mint chocolate chips",D,Très sucré,peu gras
11110023513,mango passion fruit sorbet ice cream,C,Très sucré,Sans gras
11110023605,ice cream,D,Très sucré,Très gras
11110458759,white ice cream cone cake,E,Très sucré,Très gras
11110502919,ice cream,D,Très sucré,Très gras
11110502926,ice cream,D,Très sucré,peu gras
11110504906,"deluxe churned light ice cream, artisan vanilla bean",C,Très sucré,peu gras
11110504937,"deluxe churned light ice cream, caramel delight",D,Très sucré,peu gras
11110504944,"deluxe churned light ice cream, death by chocolate",C,Très sucré,peu gras
11110504951,"deluxe churned light ice cream, fun munch cookies n' cream",C,Très sucré,peu gras
11110504975,"deluxe churned light ice cream, southern crunch butter pecan",C,Très sucré,peu gras
11110505019,"deluxe churned reduced fat ice cream, peanut butter fudge swirl",C,peu sucré,peu gras
11110505026,"deluxe churned reduced fat ice cream, rocky road",B,peu sucré,peu gras
11110505040,"deluxe churned ice cream, vividly vanilla",B,peu sucré,peu gras
11110505859,ice cream,D,Très sucré,peu gras
11110507020,"deluxe ice cream, black walnut",C,Très sucré,Très gras
11110507105,"deluxe ice cream, chocolate chip",D,Très sucré,Très gras
11110507112,"deluxe ice cream, mint chocolate chip",D,Très sucré,Très gras
11110507150,"deluxe ice cream, death by chocolate",D,Très sucré,Très gras
11110507181,"deluxe ice cream, french vanilla magnifique",D,Très sucré,Très gras
11110507198,"deluxe ice cream, fun munch cookies n' cream",D,Très sucré,Très gras
11110507259,"deluxe ice cream, rocky road",D,Très sucré,Très gras
11110507266,"deluxe ice cream, southern crunch butter pecan",D,Très sucré,Très gras
11110507464,"deluxe ice cream, mint chocolate chip",D,Très sucré,Très gras
11110507488,"deluxe ice cream, strawberry surf",C,Très sucré,peu gras
11110507761,"deluxe churned ice cream, chocolate",B,peu sucré,peu gras
11110514783,"ice cream, denali chocolate, peanut butter, moose tracks",D,Très sucré,Très gras
11110521002,"ice cream, caramel hazelnut fudge truffle",D,Très sucré,Très gras
11110526038,"ice cream, denali extreme maximum fudge moose tracks",D,Très sucré,Très gras
11110529015,"ice cream, black raspberry,dark chocolate chunks",D,Très sucré,Très gras
11110529022,southern butter pecan ice cream,D,Très sucré,Très gras
11110529053,"ice cream, double vanilla",D,Très sucré,Très gras
11110529091,"ice cream, denali extreme moose tracks",D,Très sucré,Très gras
